Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,20_SMA,Daily % Change
1999-12-13,102.39,102.5,98.94,99.0,3.0761,4731800,0.0,1.0,,
1999-12-14,98.37,99.75,94.75,94.87,2.9478,3891700,0.0,1.0,,-0.0417086570657651
1999-12-15,93.25,97.25,91.06,97.0,3.0139,5562300,0.0,1.0,,0.02242350227288159
1999-12-16,98.0,98.37,94.0,98.31,3.0546,4141300,0.0,1.0,,0.013504097680745897
1999-12-17,100.87,102.0,98.5,100.0,3.1072,4419700,0.0,1.0,,0.01721993059647753
1999-12-20,99.56,99.62,96.62,98.0,3.045,2535600,0.0,1.0,,-0.020018022657054657
1999-12-21,98.19,103.06,97.94,102.5,3.1848,2746400,0.0,1.0,,0.04591133004926107
1999-12-22,102.87,104.56,98.75,99.94,3.1053,2920300,0.0,1.0,,-0.02496232102486806
1999-12-23,101.81,104.25,101.06,103.5,3.2159,2049400,0.0,1.0,,0.03561652658358283
1999-12-27,104.37,104.44,99.25,99.31,3.0857,1503500,0.0,1.0,,-0.04048633353027142
1999-12-28,99.12,99.62,95.0,98.19,3.0509,2210500,0.0,1.0,,-0.011277829989953747
1999-12-29,96.81,102.19,95.5,100.69,3.1286,2540200,0.0,1.0,,0.02546789471959099
1999-12-30,102.19,104.12,99.62,100.31,3.1168,1849500,0.0,1.0,,-0.0037716550533785087
1999-12-31,100.94,102.87,99.5,102.81,3.1945,1462600,0.0,1.0,,0.024929414784394366
2000-01-03,104.87,112.5,101.69,111.94,3.4782,4783900,0.0,1.0,,0.08880889028016914
2000-01-04,108.25,110.62,101.19,102.5,3.1848,4574800,0.0,1.0,,-0.0843539761945834
2000-01-05,103.75,110.56,103.0,104.0,3.2314,6949300,0.0,1.0,,0.014632002009545175
2000-01-06,106.12,107.0,95.0,95.0,2.9518,6856900,0.0,1.0,,-0.08652596397846135
2000-01-07,96.5,101.0,95.5,99.5,3.0916,4113700,0.0,1.0,,0.04736093231248728
2000-01-10,102.0,102.25,94.75,97.75,3.0372,4509500,0.0,1.0,3.115105,-0.017596066761547458
2000-01-11,95.94,99.37,90.5,92.75,2.8819,3942400,0.0,1.0,3.105395,-0.05113262215198211
2000-01-12,95.0,95.5,86.5,87.19,2.7091,8714900,0.0,1.0,3.0934600000000003,-0.05996044276345469
2000-01-13,94.48,98.75,92.5,96.75,3.0062,9220400,0.0,1.0,3.0930750000000007,0.1096674172234322
2000-01-14,100.0,102.25,99.37,100.44,3.1208,3485500,0.0,1.0,3.0963850000000006,0.03812121615328312
2000-01-18,101.0,106.0,100.44,103.94,3.2296,4099800,0.0,1.0,3.1025050000000003,0.03486285567803127
2000-01-19,105.62,108.75,103.37,106.56,3.3110000000000004,5336100,0.0,1.0,3.1158050000000004,0.0252043596730247
2000-01-20,115.5,121.5,113.5,113.5,3.5266,16349400,0.0,1.0,3.1328950000000004,0.06511627906976747
2000-01-21,114.25,114.25,110.19,111.31,3.4586,4427900,0.0,1.0,3.15056,-0.019282028015652486
2000-01-24,108.44,112.75,105.12,106.25,3.3014,3936400,0.0,1.0,3.1548350000000003,-0.0454519169606199
2000-01-25,105.0,113.12,102.37,112.25,3.4878,4438800,0.0,1.0,3.1749400000000003,0.05646089537771859
2000-01-26,110.0,114.19,109.75,110.19,3.4238,3278200,0.0,1.0,3.1935849999999997,-0.01834967601353288
2000-01-27,108.81,113.0,107.0,110.0,3.4179,3037000,0.0,1.0,3.20805,-0.0017232314971669105
2000-01-28,108.19,110.87,100.62,101.62,3.1575,3779900,0.0,1.0,3.2100850000000003,-0.07618713244974973
2000-01-31,101.0,103.87,94.5,103.75,3.2237,6265000,0.0,1.0,3.211545,0.020965954077593052
2000-02-01,104.0,105.0,100.0,100.25,3.1149,2839600,0.0,1.0,3.19338,-0.033750038775320235
2000-02-02,100.75,102.12,97.0,98.81,3.0702,4144600,0.0,1.0,3.18765,-0.014350380429548393
2000-02-03,100.31,104.25,100.25,103.31,3.21,4242800,0.0,1.0,3.18658,0.045534492866914356
2000-02-04,103.94,110.0,103.62,108.0,3.3557,3797500,0.0,1.0,3.2067749999999995,0.04538940809968861
2000-02-07,108.0,114.25,105.94,114.06,3.544,3938100,0.0,1.0,3.229395,0.056113478558869945
2000-02-08,114.0,116.12,111.25,114.87,3.5692,3648600,0.0,1.0,3.2559949999999995,0.007110609480812657
2000-02-09,114.12,117.12,112.44,112.62,3.4993,2672900,0.0,1.0,3.286865,-0.01958422055362552
2000-02-10,112.87,113.87,110.0,113.5,3.5266,2705200,0.0,1.0,3.3277399999999995,0.007801560312062472
2000-02-11,113.62,114.12,108.25,108.75,3.379,1895100,0.0,1.0,3.346379999999999,-0.04185334316338685
2000-02-14,109.31,115.87,108.62,115.81,3.5984,3281600,0.0,1.0,3.3702599999999987,0.06493045279668541
2000-02-15,115.25,119.94,115.19,119.0,3.6975,4337000,0.0,1.0,3.393654999999999,0.027540017785682602
2000-02-16,117.75,118.12,112.12,114.12,3.5459,3377200,0.0,1.0,3.405399999999999,-0.041000676132521896
2000-02-17,115.19,115.5,113.12,114.87,3.5692,2584800,0.0,1.0,3.4075299999999986,0.0065709692884738935
2000-02-18,114.62,115.37,110.87,111.25,3.4567,2084300,0.0,1.0,3.407434999999998,-0.031519668273002344
2000-02-22,110.12,116.94,106.69,113.81,3.5363,3770500,0.0,1.0,3.419179999999998,0.023027743223305475
2000-02-23,113.23,119.0,111.0,116.25,3.6121,4224100,0.0,1.0,3.4253949999999973,0.02143483301756066
2000-02-24,117.31,119.12,111.75,115.2,3.5794,3361000,0.0,1.0,3.4331749999999976,-0.009052905512028975
2000-02-25,114.81,117.0,110.12,110.37,3.4294,2224500,0.0,1.0,3.4337499999999976,-0.04190646477063209
2000-02-28,110.12,115.0,108.37,113.25,3.5189,2931500,0.0,1.0,3.4518199999999983,0.026097859683909652
2000-02-29,113.56,117.25,112.56,114.62,3.5614,3294300,0.0,1.0,3.4687049999999986,0.012077637898206817
2000-03-01,118.56,132.06,118.5,130.31,4.0489,9616100,0.0,1.0,3.5154049999999986,0.13688437131465148
2000-03-02,127.0,127.94,120.69,122.0,3.7907,2779100,0.0,1.0,3.5514299999999985,-0.06377040677714929
2000-03-03,124.87,128.23,120.0,128.0,3.9772,2887200,0.0,1.0,3.5897899999999985,0.0491993563194133
2000-03-06,126.0,129.13,125.0,125.69,3.9054,1880000,0.0,1.0,3.6172749999999994,-0.018052901538770927
2000-03-07,126.44,127.44,121.12,122.87,3.8178,2437600,0.0,1.0,3.630964999999999,-0.02243048087263788
2000-03-08,122.87,123.94,118.56,122.0,3.7907,2421700,0.0,1.0,3.6420399999999993,-0.007098328880507099
2000-03-09,120.87,125.0,118.25,122.25,3.7985,2470700,0.0,1.0,3.6569999999999987,0.0020576674492838176
2000-03-10,121.69,127.94,121.0,125.75,3.9073,2219700,0.0,1.0,3.676035,0.028642885349480007
2000-03-13,122.12,126.5,119.5,121.31,3.7693,2713900,0.0,1.0,3.69555,-0.03531850638548362
2000-03-14,121.22,124.25,114.0,114.25,3.5499,3826600,0.0,1.0,3.6931249999999993,-0.058207094155413475
2000-03-15,115.62,120.25,114.12,116.25,3.6121,3960800,0.0,1.0,3.688854999999999,0.017521620327333176
2000-03-16,117.31,122.0,114.5,121.56,3.7771,3375900,0.0,1.0,3.700414999999999,0.04567979845519221
2000-03-17,120.12,125.0,119.62,125.0,3.8839,2723600,0.0,1.0,3.716149999999999,0.028275661221572213
2000-03-20,123.5,126.25,122.37,123.0,3.8218,1825800,0.0,1.0,3.734404999999999,-0.015989083138082893
2000-03-21,122.56,136.75,121.62,134.94,4.1928,4681500,0.0,1.0,3.7672299999999987,0.09707467685383842
2000-03-22,132.78,144.38,131.56,144.19,4.4802,5071400,0.0,1.0,3.8106349999999987,0.06854607899255871
2000-03-23,142.0,150.38,140.0,141.31,4.3907,5022900,0.0,1.0,3.851199999999999,-0.019976786750591558
2000-03-24,142.44,143.94,135.5,138.69,4.3093,3990300,0.0,1.0,3.895194999999999,-0.01853918509577046
2000-03-27,137.63,144.75,136.88,139.56,4.3364,2492700,0.0,1.0,3.936069999999999,0.006288724386791289
2000-03-28,137.25,142.0,137.13,139.13,4.323,1812200,0.0,1.0,3.974149999999998,-0.0030901208375611056
2000-03-29,139.38,139.44,133.83,135.94,4.2239,2141400,0.0,1.0,3.982899999999998,-0.022923895442979347
2000-03-30,133.56,137.69,125.44,125.75,3.9073,3700000,0.0,1.0,3.988729999999998,-0.07495442600440361
2000-03-31,127.44,137.25,126.0,135.81,4.2198,3612800,0.0,1.0,4.000859999999999,0.07997850177872179
2000-04-03,135.5,139.5,129.44,133.31,4.1422,2933600,0.0,1.0,4.012699999999999,-0.018389497132565658
2000-04-04,132.63,133.0,116.75,127.31,3.9557,5895800,0.0,1.0,4.019594999999998,-0.045024383178021266
2000-04-05,126.47,132.88,124.0,130.38,4.0511,4086300,0.0,1.0,4.032614999999998,0.024117096847587005
2000-04-06,130.63,134.5,123.25,125.19,3.8899,2318100,0.0,1.0,4.037184999999998,-0.039791661524030464
2000-04-07,127.25,131.88,125.5,131.75,4.0937,2164600,0.0,1.0,4.046504999999998,0.05239209234170539
2000-04-10,131.69,132.75,124.75,125.0,3.8839,1895200,0.0,1.0,4.052234999999998,-0.051249480909690504
2000-04-11,123.5,124.87,118.06,119.44,3.7112,4837700,0.0,1.0,4.060299999999998,-0.04446561445969266
2000-04-12,119.0,119.0,104.87,109.25,3.3946,8403000,0.0,1.0,4.0494249999999985,-0.08530933390816986
2000-04-13,111.5,120.0,108.5,113.81,3.5363,4730600,0.0,1.0,4.037384999999998,0.04174276792552889
2000-04-14,109.31,118.0,109.0,111.87,3.4760000000000004,5960900,0.0,1.0,4.016989999999998,-0.017051720725051567
2000-04-17,109.5,123.94,109.06,123.87,3.8488,3656800,0.0,1.0,4.0183399999999985,0.1072497123130034
2000-04-18,123.5,126.87,119.37,126.87,3.9421,3490400,0.0,1.0,4.005804999999997,0.02424132197048423
2000-04-19,126.19,130.25,119.75,121.12,3.7634,4644200,0.0,1.0,3.9699649999999975,-0.04533116866644682
2000-04-20,123.69,124.75,117.06,118.87,3.6935,6447500,0.0,1.0,3.9351049999999983,-0.018573630227985305
2000-04-24,115.0,120.5,114.75,120.5,3.7441,3960900,0.0,1.0,3.9068449999999983,0.013699742791390301
2000-04-25,122.12,128.75,122.06,128.31,3.9868,3496800,0.0,1.0,3.889364999999999,0.06482198659223859
2000-04-26,126.62,128.0,120.0,121.31,3.7693,3276000,0.0,1.0,3.8616799999999984,-0.0545550316042942
2000-04-27,117.19,127.0,116.58,126.75,3.9383,2916100,0.0,1.0,3.847399999999998,0.044835911177141696
2000-04-28,127.12,127.5,121.31,124.06,3.8547,2228400,0.0,1.0,3.8447699999999982,-0.021227433156438047
2000-05-01,124.87,125.12,121.87,124.31,3.8625,2019600,0.0,1.0,3.826904999999997,0.0020235037746128004
2000-05-02,123.25,126.25,117.5,117.87,3.6624,2111000,0.0,1.0,3.802914999999997,-0.051805825242718484
2000-05-03,118.94,121.25,111.62,115.06,3.5751,4373200,0.0,1.0,3.7838849999999984,-0.023836828309305336
2000-05-04,115.12,115.25,110.56,110.69,3.4393,3567100,0.0,1.0,3.7532949999999983,-0.037984951469889006
2000-05-05,110.81,114.75,110.72,113.12,3.5148,2536400,0.0,1.0,3.7345399999999978,0.021952141424127047
2000-05-08,112.09,113.69,110.0,110.12,3.4216,1650900,0.0,1.0,3.7009349999999976,-0.02651644474792303
2000-05-09,110.31,111.25,104.87,105.44,3.2762,2920900,0.0,1.0,3.6705499999999978,-0.042494739303250095
2000-05-10,104.06,105.0,98.75,99.31,3.0857,4777600,0.0,1.0,3.6392749999999983,-0.05814663329467051
2000-05-11,101.37,104.25,99.0,102.81,3.1945,4462000,0.0,1.0,3.629269999999998,0.03525942249732639
2000-05-12,106.0,110.5,104.77,107.62,3.3439,2740300,0.0,1.0,3.619649999999999,0.046767882297699126
2000-05-15,108.06,108.06,100.12,101.0,3.1382,6061900,0.0,1.0,3.602759999999998,-0.061514997458057996
2000-05-16,104.52,109.06,102.75,105.69,3.284,3932600,0.0,1.0,3.574519999999999,0.046459753999107845
2000-05-17,103.62,103.69,100.37,101.37,3.1497,3554400,0.0,1.0,3.5348999999999986,-0.040895249695493185
2000-05-18,103.0,104.94,100.62,100.75,3.1305,3337300,0.0,1.0,3.5032549999999985,-0.006095818649395235
2000-05-19,99.25,99.25,93.37,94.0,2.9207,6613100,0.0,1.0,3.4646149999999984,-0.06701804823510615
2000-05-22,93.75,93.75,86.0,89.94,2.7946,6745600,0.0,1.0,3.4171399999999985,-0.043174581435957204
2000-05-23,90.5,93.37,85.62,85.81,2.6663,4621300,0.0,1.0,3.3511149999999987,-0.04590996922636503
2000-05-24,86.19,89.75,83.0,87.69,2.7247,6057700,0.0,1.0,3.2988849999999985,0.02190301166410369
2000-05-25,88.5,92.66,86.0,87.27,2.7116,3631700,0.0,1.0,3.237549999999999,-0.004807868756193434
2000-05-26,88.0,89.87,85.25,86.37,2.6837,1617400,0.0,1.0,3.178999999999999,-0.010289128189998498
2000-05-30,87.62,88.12,81.75,87.56,2.7206,6366600,0.0,1.0,3.1219049999999986,0.013749673957595965
2000-05-31,86.87,91.25,83.81,84.0,2.61,3870600,0.0,1.0,3.069284999999999,-0.04065279717709336
2000-06-01,81.75,89.56,80.37,89.12,2.7691,8070000,0.0,1.0,3.0289849999999987,0.06095785440613022
2000-06-02,93.75,99.75,89.0,92.56,2.8760000000000003,7079000,0.0,1.0,3.0008199999999987,0.03860460077281447
2000-06-05,93.31,95.25,89.69,91.31,2.8371,2889900,0.0,1.0,2.9669349999999985,-0.013525730180806828
2000-06-06,91.97,96.75,90.31,92.87,2.8856,4691800,0.0,1.0,2.940134999999999,0.017094920869902497
2000-06-07,93.62,97.0,91.62,96.56,3.0003,3009100,0.0,1.0,2.926339999999999,0.03974909897421686
2000-06-08,97.62,98.5,93.12,94.81,2.9459,2129700,0.0,1.0,2.919349999999999,-0.018131520181315253
2000-06-09,96.75,97.94,94.37,95.75,2.9751,2253200,0.0,1.0,2.9083799999999984,0.009912081197596567
2000-06-12,96.37,96.44,90.87,91.19,2.8334,2592300,0.0,1.0,2.8828549999999984,-0.04762865113777681
2000-06-13,91.19,94.69,88.19,94.5,2.9363,3138000,0.0,1.0,2.872759999999998,0.036316792546057686
2000-06-14,94.69,96.25,90.12,90.44,2.8101,2477200,0.0,1.0,2.849064999999998,-0.04297925961243754
2000-06-15,91.25,93.37,89.0,92.37,2.8701,2219400,0.0,1.0,2.8350849999999985,0.021351553325504424
2000-06-16,93.5,93.75,89.06,91.19,2.8334,2710400,0.0,1.0,2.8202299999999987,-0.012787010905543239
2000-06-19,90.56,97.87,89.81,96.62,3.0021,3517900,0.0,1.0,2.8242999999999987,0.05953977553469314
2000-06-20,98.5,103.94,98.37,101.25,3.1460000000000004,4476700,0.0,1.0,2.841869999999999,0.04793311348722562
2000-06-21,50.5,56.94,50.31,55.63,3.457,4375000,0.0,2.0,2.8814049999999987,0.09885568976478054
2000-06-22,55.75,57.63,53.56,53.75,3.3402,8352000,0.0,1.0,2.912179999999999,-0.03378652010413652
2000-06-23,53.78,54.63,50.81,51.69,3.2122,3660100,0.0,1.0,2.9372099999999994,-0.038321058619244286
2000-06-26,52.5,54.75,52.13,54.13,3.3638,3309900,0.0,1.0,2.9712149999999986,0.04719506880019919
2000-06-27,53.78,55.5,51.63,51.75,3.2159,3633400,0.0,1.0,2.995979999999999,-0.04396813128009991
2000-06-28,53.31,55.38,51.5,54.44,3.3831,5114800,0.0,1.0,3.034634999999999,0.05199166640753772
2000-06-29,53.06,53.94,51.06,51.25,3.1848,3636800,0.0,1.0,3.055419999999999,-0.05861487984393021
2000-06-30,52.81,54.94,51.69,52.38,3.2551,5769600,0.0,1.0,3.0743749999999994,0.022073599598090965
2000-07-03,52.13,54.31,52.13,53.31,3.3129,1264800,0.0,1.0,3.0981650000000003,0.01775675094467144
2000-07-05,53.25,55.19,50.75,51.63,3.2085,4736000,0.0,1.0,3.11431,-0.03151317576745449
2000-07-06,52.5,52.94,49.63,51.81,3.2196,5527600,0.0,1.0,3.125275,0.003459560542309559
2000-07-07,52.59,54.81,52.13,54.44,3.3831,4707200,0.0,1.0,3.147135,0.05078270592620204
2000-07-10,54.09,58.25,53.75,57.13,3.5502,7103500,0.0,1.0,3.1758900000000003,0.04939256894564137
2000-07-11,57.0,59.25,55.44,56.94,3.5384,6391000,0.0,1.0,3.2111399999999994,-0.003323756408089573
2000-07-12,58.13,58.94,56.38,58.88,3.659,4025600,0.0,1.0,3.247275,0.034083201446981626
2000-07-13,58.5,60.63,54.75,56.5,3.5111,7958200,0.0,1.0,3.2823249999999997,-0.040420880021863836
2000-07-14,57.13,59.0,56.88,57.69,3.585,3397800,0.0,1.0,3.31807,0.02104753496055367
2000-07-17,58.25,58.81,57.13,58.31,3.6236,4642900,0.0,1.0,3.35758,0.010767085076708538
2000-07-18,58.5,58.88,56.88,57.25,3.5577,5685800,0.0,1.0,3.3853599999999995,-0.018186334032453955
2000-07-19,55.19,56.81,51.75,52.69,3.2743,8176300,0.0,1.0,3.3917749999999987,-0.0796582061444191
2000-07-20,55.0,57.06,54.13,55.13,3.426,8313800,0.0,1.0,3.390225,0.04633051339217542
2000-07-21,54.36,55.63,52.94,53.56,3.3284,3504200,0.0,1.0,3.389635,-0.02848803269118516
2000-07-24,52.56,52.88,47.5,48.69,3.0258,7360200,0.0,1.0,3.3803150000000004,-0.09091455353923805
2000-07-25,50.31,50.63,49.06,50.06,3.1109,3778700,0.0,1.0,3.3676700000000004,0.028124793443056406
2000-07-26,49.84,51.25,49.25,50.06,3.1109,3758400,0.0,1.0,3.3624199999999997,0.0
2000-07-27,50.0,53.25,49.88,52.0,3.2314,5267600,0.0,1.0,3.354835,0.038734771288051695
2000-07-28,52.28,52.5,46.88,48.31,3.0021,4248100,0.0,1.0,3.3457,-0.07095995543727174
2000-07-31,49.16,51.63,48.75,50.81,3.1575,2773200,0.0,1.0,3.34082,0.051763765364245096
2000-08-01,50.31,51.16,49.25,49.31,3.0643,2451500,0.0,1.0,3.32839,-0.02951702296120362
2000-08-02,49.0,49.94,47.19,47.25,2.9363,2899200,0.0,1.0,3.3147800000000003,-0.04177136703325379
2000-08-03,45.56,48.06,44.25,48.0,2.9829,6069600,0.0,1.0,3.302945,0.015870312978919054
2000-08-04,49.47,51.25,46.31,47.38,2.9443,4698600,0.0,1.0,3.2810050000000004,-0.01294042710114307
2000-08-07,47.88,49.06,47.19,47.94,2.9791,3345500,0.0,1.0,3.2524500000000005,0.011819447746493239
2000-08-08,47.94,48.0,46.31,46.75,2.9052,3154900,0.0,1.0,3.22079,-0.024806149508240782
2000-08-09,48.13,48.44,47.25,47.5,2.9518,6779300,0.0,1.0,3.1854300000000006,0.01604020377254578
2000-08-10,48.0,48.44,47.38,47.56,2.9555,4494900,0.0,1.0,3.1576500000000003,0.0012534724574835288
2000-08-11,46.84,48.0,45.56,47.69,2.9636,4251000,0.0,1.0,3.12658,0.0027406530197937595
2000-08-14,47.59,47.69,46.31,47.06,2.9245,2797500,0.0,1.0,3.091625,-0.013193413416115463
2000-08-15,47.25,47.94,46.5,46.69,2.9015,2039300,0.0,1.0,3.0588150000000005,-0.00786459223798941
2000-08-16,46.88,49.0,46.81,48.5,3.0139,2565600,0.0,1.0,3.0457950000000014,0.03873858349129766
2000-08-17,48.38,52.44,48.31,51.44,3.1966,4837500,0.0,1.0,3.0343250000000013,0.06061913135804109
2000-08-18,51.38,51.81,49.88,50.0,3.1072,3396000,0.0,1.0,3.023265000000001,-0.027967215166114
