Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
1999-12-13,141.4375,142.7187,141.2812,142.125,97.9236,4210800,0.0,1.0
1999-12-14,141.625,142.4843,140.625,140.75,96.9762,5739000,0.0,1.0
1999-12-15,140.375,142.2031,140.0312,141.5,97.493,6879100,0.0,1.0
1999-12-16,142.1875,142.6562,141.1562,142.125,97.9236,5854900,0.0,1.0
1999-12-17,143.0,143.3125,142.0625,142.6875,98.5506,4775400,0.3476,1.0
1999-12-20,142.5625,143.1875,141.0937,141.6562,97.8384,4608700,0.0,1.0
1999-12-21,141.5937,144.0625,141.3437,143.8125,99.3277,7981300,0.0,1.0
1999-12-22,143.625,144.1875,142.9687,144.1875,99.5867,5377500,0.0,1.0
1999-12-23,145.0156,146.4843,145.0,146.4843,101.173,5721700,0.0,1.0
1999-12-27,146.5,146.7812,145.0625,146.2812,101.0327,2691000,0.0,1.0
1999-12-28,145.875,146.5,145.4843,146.1875,100.968,4084500,0.0,1.0
1999-12-29,146.3125,146.8125,145.3125,146.8125,101.3997,3001000,0.0,1.0
1999-12-30,147.125,147.5625,146.1875,146.6406,101.2809,3641300,0.0,1.0
1999-12-31,146.8437,147.5,146.25,146.875,101.4428,3172700,0.0,1.0
2000-01-03,148.25,148.25,143.875,145.4375,100.45,8164300,0.0,1.0
2000-01-04,143.5312,144.0625,139.6406,139.75,96.5218,8089800,0.0,1.0
2000-01-05,139.9375,141.5312,137.25,140.0,96.6945,12177900,0.0,1.0
2000-01-06,139.625,141.5,137.75,137.75,95.1404,6227200,0.0,1.0
2000-01-07,140.3125,145.75,140.0625,145.75,100.6658,8066500,0.0,1.0
2000-01-10,146.25,146.9062,145.0312,146.25,101.0112,5741700,0.0,1.0
2000-01-11,145.8125,146.0937,143.5,144.5,99.8025,7503700,0.0,1.0
2000-01-12,144.5937,144.5937,142.875,143.0625,98.8096,6907700,0.0,1.0
2000-01-13,144.4687,145.75,143.2812,145.0,100.1478,5158300,0.0,1.0
2000-01-14,146.5312,147.4687,145.9687,146.9687,101.5076,7437300,0.0,1.0
2000-01-18,145.3437,146.625,145.1875,145.8125,100.709,6488500,0.0,1.0
2000-01-19,145.3125,147.0,145.0,147.0,101.5292,6157900,0.0,1.0
2000-01-20,146.9687,146.9687,143.8125,144.75,99.9752,5800100,0.0,1.0
2000-01-21,145.5,145.5,144.0625,144.4375,99.7593,6244800,0.0,1.0
2000-01-24,145.6562,145.8437,139.4062,140.3437,96.9318,7896900,0.0,1.0
2000-01-25,140.5156,141.9375,139.0,141.9375,98.0326,9942500,0.0,1.0
2000-01-26,141.0,141.5468,140.0937,140.8125,97.2556,5158100,0.0,1.0
2000-01-27,141.8437,142.2187,138.125,140.25,96.8671,10922700,0.0,1.0
2000-01-28,139.4375,140.0625,135.5312,135.875,93.8454,11916200,0.0,1.0
2000-01-31,135.8125,139.6718,135.0,139.5625,96.3923,10768700,0.0,1.0
2000-02-01,139.75,141.6875,138.5312,140.9375,97.342,8419900,0.0,1.0
2000-02-02,141.2812,142.25,140.375,141.0625,97.4283,6205900,0.0,1.0
2000-02-03,140.875,143.25,140.0,143.1875,98.896,7997500,0.0,1.0
2000-02-04,143.1875,144.0,142.125,142.5937,98.4859,4925400,0.0,1.0
2000-02-07,142.5625,142.7812,141.4375,142.375,98.3348,5845800,0.0,1.0
2000-02-08,143.9687,144.5625,143.625,144.3125,99.673,4936400,0.0,1.0
2000-02-09,144.4687,144.4687,141.2656,141.2812,97.5793,8511500,0.0,1.0
2000-02-10,141.625,142.5625,140.875,141.5625,97.7736,6690600,0.0,1.0
2000-02-11,141.8437,141.9375,138.0312,138.6875,95.7879,9849800,0.0,1.0
2000-02-14,139.7812,139.7812,138.3125,139.5,96.3491,8528800,0.0,1.0
2000-02-15,139.25,141.2187,137.7968,141.0781,97.4391,11078300,0.0,1.0
2000-02-16,140.375,140.9375,138.7968,139.0,96.0038,8845400,0.0,1.0
2000-02-17,140.4375,140.4375,138.2187,138.2812,95.5073,7584200,0.0,1.0
2000-02-18,138.875,138.875,134.625,135.3125,93.4569,9409200,0.0,1.0
2000-02-22,135.1875,136.3437,133.5312,134.9687,93.2195,16415400,0.0,1.0
2000-02-23,135.625,137.4687,134.5,136.5625,94.3203,12119000,0.0,1.0
2000-02-24,136.6875,137.0312,133.0937,133.8125,92.4209,17375000,0.0,1.0
2000-02-25,135.1875,136.7187,133.125,133.3281,92.0863,10559900,0.0,1.0
2000-02-28,133.375,136.6875,132.7187,136.125,94.0181,13397800,0.0,1.0
